book,chapter,verse,duration
1,26,32,12.721625
1,26,33,8.254687
1,26,34,11.781187
1,26,35,5.616313
1,27,1,13.400812
1,27,2,5.564062
1,27,3,9.195063
1,27,4,11.36325
1,27,5,9.795875
1,27,6,8.542
1,27,7,9.613062
1,27,8,5.851375
1,27,9,11.232625
1,27,10,6.687312
1,27,11,9.090562
1,27,12,9.613062
1,27,13,8.90775
1,27,14,8.80325
1,27,15,11.232625
1,27,16,7.10525
1,27,17,7.131375
1,27,18,7.784438
1,27,19,15.777938
1,27,20,10.213875
1,27,21,9.456312
1,27,22,11.4155
1,27,23,7.52325
1,27,24,5.0155
1,27,25,12.617125
1,27,26,6.582813
1,27,27,14.654687
1,27,28,8.4375
1,27,29,15.30775
1,27,30,15.177125
1,27,31,14.210562
1,27,32,9.273438
1,27,33,16.48325
1,27,34,13.792625
1,27,35,6.452187
1,27,36,17.632625
1,27,37,15.908563
1,27,38,14.341188
1,27,39,11.102
1,27,40,12.303625
1,27,41,14.706938
1,27,42,15.960812
1,27,43,7.52325
1,27,44,6.0865
1,27,45,13.453062
1,27,46,15.36
1,28,1,11.232625
1,28,2,12.355875
1,28,3,8.254687
1,28,4,13.087312
1,28,5,12.852187
1,28,6,18.102812
1,28,7,7.183625
1,28,8,6.687312
1,28,9,12.016312
1,28,10,5.851375
1,28,11,12.982812
1,28,12,12.382
1,28,13,17.972188
1,28,14,13.322437
1,28,15,15.908563
1,28,16,9.795875
1,28,17,11.04975
1,28,18,12.068563
1,28,19,8.202438
1,28,20,14.942
1,28,21,6.269375
1,28,22,12.8
1,29,1,4.675875
1,29,2,15.36
1,29,3,13.635875
1,29,4,8.071813
1,29,5,6.817938
1,29,6,9.456312
1,29,7,9.456312
1,29,8,12.016312
1,29,9,7.706062
1,29,10,17.737125
1,29,11,5.851375
1,29,12,10.292188
1,29,13,16.300375
1,29,14,7.888937
1,29,15,10.866938
1,29,16,7.41875
1,29,17,7.288125
1,29,18,9.848125
1,29,19,9.273438
1,29,20,9.508563
1,29,21,9.377937
1,29,22,4.96325
1,29,23,8.96
1,29,24,8.176312
1,29,25,12.53875
1,29,26,7.653875
1,29,27,9.9265
1,29,28,8.8555
1,29,29,6.0865
1,29,30,10.031
1,29,31,7.653875
1,29,32,13.400812
1,29,33,12.982812
1,29,34,13.740375
1,29,35,11.598313
1,30,1,12.956687
1,30,2,8.96
1,30,3,10.475062
1,30,4,7.183625
1,30,5,4.075062
1,30,6,10.631813
1,30,7,6.03425
1,30,8,10.031
1,30,9,8.672625
1,30,10,4.179563
1,30,11,6.03425
1,30,12,4.54525
1,30,13,7.784438
1,30,14,12.068563
1,30,15,17.92
1,30,16,16.48325
1,30,17,7.52325
1,30,18,9.97875
1,30,19,4.075062
1,30,20,12.016312
1,30,21,5.198313
1,30,22,7.183625
1,30,23,5.328938
1,30,24,6.164875
1,30,25,11.128125
1,30,26,11.964062
1,30,27,9.325687
